id	n_reads	n_bases	kmers
2301_S40_L001	656524	148868479	6894521
2305_S44_L001	561050	126999278	15520545
2224_S11_L001	646170	146118925	6597752
2295_S34_L001	603404	136304478	8046869
2235_S22_L001	811774	183929549	6324771
2276_S15_L001	709658	155527883	20696617
2232_S19_L001	715728	164248725	15613084
2289_S28_L001	737682	165454676	4711980
2223_S10_L001	706334	155672357	10255499
2253_S40_L001	755954	166445304	8793282
2240_S27_L001	682382	157191594	22425020
2293_S32_L001	704598	158886446	5971852
2260_S47_L001	696582	159649671	13445825
2233_S20_L001	577474	133728557	14844622
2216_S3_L001	671440	147367886	3814502
2298_S37_L001	514488	117006253	18621805
2263_S2_L001	819194	176213520	8261292
2239_S26_L001	665782	152393713	25540229
2252_S39_L001	703948	156766305	7232950
2273_S12_L001	722560	161797133	6717569
2266_S5_L001	1132420	253523104	8398585
2262_S1_L001	813726	177264941	10409694
2294_S33_L001	519346	114628156	12406736
2237_S24_L001	822862	188190431	9063554
2254_S41_L001	717464	159389535	7651599
2304_S43_L001	578600	131704026	3845393
2220_S7_L001	771516	173450339	10051201
2241_S28_L001	662144	147844434	26368924
2257_S44_L001	586264	136621950	6173900
2265_S4_L001	811448	177446519	7614970
2259_S46_L001	651056	149811990	7374231
2249_S36_L001	726988	159316314	6205677
2218_S5_L001	865702	195335456	69221238
2274_S13_L001	737036	163783866	19620063
2229_S16_L001	789488	178950235	12067772
2283_S22_L001	840730	181787392	36674741
2248_S35_L001	985812	218955219	7533603
2215_S2_L001	693090	150701504	7158750
2250_S37_L001	644212	143749272	3856047
2297_S36_L001	574026	126271550	12716789
