file	program	config	c_size	u_size	c_time	d_time	c_mem	d_mem	c_cpu	d_cpu	is_lossless
2234_S21_L001_q8.il.fq	quip	quip	26483897	376716678	5.96	6.8	392	391	167	188	1
2234_S21_L001.il.fq	quip	quip	49452156	376716678	6.94	8.3	393	392	155	180	1
2257_S44_L001_q8.il.fq	plzip	plzip_l9_m	24632280	319269900	208.75	1.59	1021	66	173	172	1
2296_S35_L001_q8.il.fq	plzip	plzip_l9_m	22833777	390943752	215.15	1.49	1034	66	194	191	1
2246_S33_L001.il.fq	plzip	plzip_l9_m	49566145	366122444	218.4	2.58	1042	66	181	181	1
2296_S35_L001_q8.il.fq	quip	quip	22217483	390943752	4.32	6.38	392	391	176	192	1
2257_S44_L001.il.fq	plzip	plzip_l9_m	50586654	319269900	195.07	2.74	1027	66	173	174	1
2296_S35_L001.il.fq	quip	quip	43785431	390943752	6.96	8.17	393	392	148	167	1
2234_S21_L001.il.fq	plzip	plzip_l9_m	51360574	376716678	227.8	2.58	1043	66	187	187	1
2296_S35_L001.il.fq	plzip	plzip_l9_m	44699806	390943752	203.84	2.33	1041	66	194	191	1
2234_S21_L001_q8.il.fq	plzip	plzip_l9_m	25988866	376716678	238.25	1.6	1036	66	187	186	1
2246_S33_L001_q8.il.fq	plzip	plzip_l9_m	24893380	366122444	231.64	1.62	1035	66	181	182	1
2288_S27_L001_q8.il.fq	quip	quip	22143101	455466060	5.08	6.89	392	391	175	190	1
2288_S27_L001.il.fq	quip	quip	46424832	455466060	6.92	8.44	393	392	164	183	1
2246_S33_L001.il.fq	quip	quip	47556800	366122444	6.24	7.63	393	392	170	185	1
2246_S33_L001_q8.il.fq	quip	quip	24699461	366122444	5.22	6.33	392	391	178	187	1
2257_S44_L001.il.fq	quip	quip	46011144	319269900	5.43	7.03	393	392	161	176	1
2257_S44_L001_q8.il.fq	quip	quip	23434604	319269900	4.63	5.39	392	391	176	193	1
2296_S35_L001.il.fq	fqzcomp	fqzcomp_s8_m	38865056	390943752	7.91	9.43	4407	4405	145	146	0
2296_S35_L001_q8.il.fq	fqzcomp	fqzcomp_s8_m	17670240	390943752	6.12	7.33	4406	4405	156	154	0
2234_S21_L001_q8.il.fq	fqzcomp	fqzcomp_s8_m	20742509	376716678	6.51	8.23	4406	4405	157	148	0
2234_S21_L001.il.fq	fqzcomp	fqzcomp_s8_m	43449213	376716678	7.93	9.63	4407	4405	155	157	0
