file	program	config	c_size	u_size	c_time	d_time	c_mem	d_mem	c_cpu	d_cpu	is_lossless
2289_S28_L001.il.fq	plzip	plzip_l6_s	25068265	388820198	113.67	3.91	126	11	100	99	1
2297_S36_L001.il.fq	plzip	plzip_l6_s	24546361	297605488	115.41	3.52	127	11	100	100	1
2224_S11_L001.il.fq	plzip	plzip_l6_s	27038885	342963850	129.18	3.95	126	11	100	99	1
2273_S12_L001.il.fq	plzip	plzip_l6_s	27740238	380317040	130.67	4.1	126	11	100	99	1
2305_S44_L001.il.fq	plzip	plzip_l6_s	27907725	298045616	139.65	3.74	126	11	100	99	1
2257_S44_L001.il.fq	plzip	plzip_l6_s	28849224	319269900	144.64	3.94	126	11	100	99	1
2260_S47_L001.il.fq	plzip	plzip_l6_s	37316357	373982572	183.23	4.71	126	11	100	99	1
2266_S5_L001.il.fq	plzip	plzip_l6_s	40040580	595944536	187.23	6.09	126	11	100	99	1
2263_S2_L001.il.fq	plzip	plzip_l6_s	29169628	416736936	135.85	4.37	126	11	100	99	1
2249_S36_L001.il.fq	plzip	plzip_l6_s	29741772	375702258	141.52	4.21	126	11	100	99	1
2223_S10_L001.il.fq	plzip	plzip_l6_s	33277337	366792588	162.32	4.39	126	11	100	100	1
2274_S13_L001.il.fq	plzip	plzip_l6_s	33838121	385430632	164.88	4.69	126	11	100	100	1
2248_S35_L001.il.fq	plzip	plzip_l6_s	38789803	515301428	182.04	5.71	126	11	100	99	1
2253_S40_L001.il.fq	plzip	plzip_l6_s	33967341	392234212	164.08	4.6	126	11	100	99	1
2215_S2_L001.il.fq	plzip	plzip_l6_s	29806717	355812082	140.39	4.03	126	11	100	99	1
2295_S34_L001.il.fq	gzip	gzip_l9_s	26431197	319978424	44.79	1.54	2	1	99	99	1
2254_S41_L001.il.fq	plzip	plzip_l6_s	30695736	375101846	145.53	4.24	126	11	100	100	1
2283_S22_L001.il.fq	plzip	plzip_l6_s	45822526	429575634	225.18	6.02	127	11	100	99	1
2216_S3_L001.il.fq	plzip	plzip_l6_s	24916870	347444344	116.94	3.72	126	11	100	99	1
2265_S4_L001.il.fq	plzip	plzip_l6_s	33238524	418596336	159.1	4.69	126	11	100	99	1
2235_S22_L001.il.fq	plzip	plzip_l6_s	32177190	431585584	151.54	4.86	126	11	100	99	1
2232_S19_L001.il.fq	plzip	plzip_l6_s	38704688	384683514	191.55	5.07	127	11	100	99	1
2239_S26_L001.il.fq	plzip	plzip_l6_s	41497881	357055160	209.73	5.25	127	11	100	99	1
2298_S37_L001.il.fq	plzip	plzip_l6_s	25919639	274403560	124.1	3.6	127	11	100	99	1
2241_S28_L001.il.fq	plzip	plzip_l6_s	38236271	347670024	189.81	5.01	127	11	100	99	1
2262_S1_L001.il.fq	plzip	plzip_l6_s	31557729	418410180	148.1	4.62	126	11	100	100	1
2304_S43_L001.il.fq	plzip	plzip_l6_s	20796763	308830288	96.55	3.16	126	11	100	99	1
2220_S7_L001.il.fq	plzip	plzip_l6_s	35232225	407466534	172.69	4.77	126	11	100	99	1
2295_S34_L001.il.fq	plzip	plzip_l6_s	22987731	319978424	106.19	3.46	126	11	100	99	1
2301_S40_L001.il.fq	plzip	plzip_l6_s	25136515	349276596	118.51	3.71	126	11	100	99	1
2240_S27_L001.il.fq	plzip	plzip_l6_s	37505180	367953250	184.96	5.06	127	11	100	100	1
2252_S39_L001.il.fq	plzip	plzip_l6_s	30622948	368794574	147.13	4.24	126	11	100	100	1
2276_S15_L001.il.fq	plzip	plzip_l6_s	33379634	366767194	159.96	4.61	127	11	100	99	1
2293_S32_L001.il.fq	plzip	plzip_l6_s	25346175	373086500	117.97	3.92	126	11	100	99	1
2237_S24_L001.il.fq	plzip	plzip_l6_s	35057784	440977110	165.56	5.1	126	11	100	99	1
2250_S37_L001.il.fq	plzip	plzip_l6_s	24720922	338071598	117.07	3.69	126	11	100	99	1
2224_S11_L001.il.fq	plzip	plzip_l6_m	27038885	342963850	80.23	2.65	266	19	197	195	1
2294_S33_L001.il.fq	plzip	plzip_l6_s	22546296	270026346	116.83	3.3	126	11	100	99	1
2215_S2_L001.il.fq	plzip	plzip_l6_m	29806717	355812082	88.22	2.98	267	19	198	188	1
2259_S46_L001.il.fq	plzip	plzip_l6_s	29695690	350734246	162.17	5.44	126	11	100	99	1
2218_S5_L001.il.fq	plzip	plzip_l6_s	67732984	458633010	357.13	9.34	127	11	100	99	1
2248_S35_L001.il.fq	plzip	plzip_l6_m	38789803	515301428	132.1	4.21	266	19	195	191	1
2229_S16_L001.il.fq	plzip	plzip_l6_s	39203490	419881230	211.11	5.96	127	11	100	99	1
2305_S44_L001.il.fq	plzip	plzip_l6_m	27907725	298045616	101.01	2.7	267	20	191	197	1
2249_S36_L001.il.fq	plzip	plzip_l6_m	29741772	375702258	101.65	3.05	266	19	199	198	1
